flight_plan_id,operator_id,aircraft_id,aircraft_type,city,city_code,region,route_id,scenario,apply_time,planned_takeoff_time,planned_landing_time,planned_duration_min,planned_altitude_m,planned_distance_km,night_flight,payload_kg,approval_status,preflight_risk_score,preflight_risk_level,data_nature,source_basis
FP000017,OP0204,UAV00146,多旋翼无人机,南京,320100,华东,RT_320100_048,城市治理巡检,2026-04-22 22:11:00,2026-04-23 14:11:00,2026-04-23 15:00:00,49,94,44.67,False,3.46,通过,43.59,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000018,OP0638,UAV01105,多旋翼无人机,杭州,330100,华东,RT_330100_007,城市治理巡检,2026-05-19 08:19:00,2026-05-20 16:19:00,2026-05-20 16:58:00,39,87,51.76,False,4.09,待审,25.3,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000019,OP0083,UAV02498,多旋翼无人机,深圳,440300,中南,RT_440300_045,应急救援,2026-01-06 17:34:00,2026-01-07 01:34:00,2026-01-07 02:27:00,53,148,32.27,True,1.62,通过,37.4,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000020,OP0586,UAV02269,复合翼无人机,海口,460100,中南,RT_460100_026,交通巡查,2026-05-13 09:37:00,2026-05-13 23:37:00,2026-05-14 00:11:00,34,86,52.98,True,6.08,驳回,28.52,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000021,OP0180,UAV00502,多旋翼无人机,郑州,410100,中南,RT_410100_042,低空物流配送,2026-03-12 18:10:00,2026-03-14 05:10:00,2026-03-14 05:56:00,46,60,19.68,True,4.71,需补充材料,56.7,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000022,OP0036,UAV02294,多旋翼无人机,南通,320600,华东,RT_320600_038,交通巡查,2026-03-26 21:49:00,2026-03-28 08:49:00,2026-03-28 09:26:00,37,60,19.39,False,2.13,通过,12.28,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000023,OP0376,UAV00442,固定翼无人机,成都,510100,西南,RT_510100_051,园区低空运营,2026-05-15 11:53:00,2026-05-16 11:53:00,2026-05-16 12:35:00,42,92,14.78,False,7.84,驳回,60.52,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000024,OP0155,UAV01960,固定翼无人机,杭州,330100,华东,RT_330100_041,城市治理巡检,2026-05-04 21:49:00,2026-05-05 03:49:00,2026-05-05 04:25:00,36,108,46.49,True,4.86,通过,10.28,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000025,OP0377,UAV02694,多旋翼无人机,海口,460100,中南,RT_460100_004,园区低空运营,2026-04-15 08:14:00,2026-04-16 13:14:00,2026-04-16 13:44:00,30,100,54.95,False,3.17,通过,26.65,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000026,OP0016,UAV02049,多旋翼无人机,海口,460100,中南,RT_460100_009,园区低空运营,2026-01-30 21:50:00,2026-02-01 05:50:00,2026-02-01 06:36:00,46,89,29.83,True,5.49,通过,17.26,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000027,OP0133,UAV00276,多旋翼无人机,上海,310000,华东,RT_310000_006,城市治理巡检,2026-01-11 12:12:00,2026-01-12 03:12:00,2026-01-12 04:10:00,58,96,51.7,True,2.58,通过,6.48,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000028,OP0076,UAV02304,系留无人机,重庆,500000,西南,RT_500000_011,交通巡查,2026-04-27 18:18:00,2026-04-28 05:18:00,2026-04-28 05:53:00,35,44,51.71,True,3.12,通过,49.54,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000029,OP0584,UAV00638,多旋翼无人机,上海,310000,华东,RT_310000_052,文旅观光,2026-03-23 22:13:00,2026-03-24 04:13:00,2026-03-24 04:40:00,27,138,37.0,True,1.85,通过,31.41,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000030,OP0224,UAV01308,复合翼无人机,武汉,420100,中南,RT_420100_010,低空物流配送,2026-04-08 14:05:00,2026-04-08 21:05:00,2026-04-08 21:50:00,45,85,2.39,True,6.35,通过,33.95,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000031,OP0524,UAV02567,多旋翼无人机,上海,310000,华东,RT_310000_008,文旅观光,2026-03-02 20:46:00,2026-03-03 23:46:00,2026-03-04 00:19:00,33,81,37.93,True,2.91,通过,25.03,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000032,OP0369,UAV02322,复合翼无人机,南通,320600,华东,RT_320600_030,应急救援,2026-01-06 11:27:00,2026-01-06 19:27:00,2026-01-06 19:43:00,16,66,9.36,False,8.81,驳回,22.68,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000033,OP0613,UAV00036,多旋翼无人机,长沙,430100,中南,RT_430100_029,低空物流配送,2026-05-08 18:27:00,2026-05-09 05:27:00,2026-05-09 06:26:00,59,73,9.14,True,3.31,撤销,33.85,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000034,OP0168,UAV02124,固定翼无人机,广州,440100,中南,RT_440100_042,园区低空运营,2026-04-28 03:47:00,2026-04-29 01:47:00,2026-04-29 02:31:00,44,117,40.34,True,5.41,通过,38.67,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000035,OP0219,UAV00603,eVTOL,海口,460100,中南,RT_460100_015,电力巡检,2026-06-14 17:15:00,2026-06-15 08:15:00,2026-06-15 09:23:00,68,112,36.73,False,122.29,通过,28.9,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000036,OP0274,UAV01318,eVTOL,成都,510100,西南,RT_510100_016,园区低空运营,2026-06-01 06:13:00,2026-06-02 04:13:00,2026-06-02 04:55:00,42,66,3.09,True,116.47,通过,30.43,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000037,OP0107,UAV01684,eVTOL,北京,110000,华北,RT_110000_033,低空物流配送,2026-06-13 16:22:00,2026-06-14 15:22:00,2026-06-14 16:06:00,44,115,6.92,False,121.77,通过,75.04,高,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000038,OP0098,UAV00576,多旋翼无人机,北京,110000,华北,RT_110000_047,电力巡检,2026-06-22 16:51:00,2026-06-23 06:51:00,2026-06-23 07:27:00,36,85,59.58,False,4.0,通过,44.4,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000039,OP0648,UAV01338,eVTOL,深圳,440300,中南,RT_440300_026,文旅观光,2026-02-23 12:18:00,2026-02-23 14:18:00,2026-02-23 15:31:00,73,106,8.96,False,122.23,通过,21.2,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000040,OP0619,UAV01728,固定翼无人机,上海,310000,华东,RT_310000_043,医疗物资运输,2026-03-24 15:37:00,2026-03-25 21:37:00,2026-03-25 22:10:00,33,160,41.88,True,5.58,需补充材料,35.3,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000041,OP0280,UAV01408,多旋翼无人机,合肥,340100,华东,RT_340100_019,园区低空运营,2026-04-19 11:04:00,2026-04-20 18:04:00,2026-04-20 18:12:00,8,94,42.94,False,0.55,驳回,9.78,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000042,OP0649,UAV01614,多旋翼无人机,杭州,330100,华东,RT_330100_044,电力巡检,2026-01-27 00:01:00,2026-01-27 19:01:00,2026-01-27 19:15:00,14,78,54.23,False,1.66,通过,72.9,高,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000043,OP0465,UAV01251,多旋翼无人机,海口,460100,中南,RT_460100_058,电力巡检,2026-06-06 19:50:00,2026-06-07 10:50:00,2026-06-07 11:27:00,37,124,30.44,False,2.81,通过,48.38,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000044,OP0404,UAV01230,复合翼无人机,南京,320100,华东,RT_320100_024,应急救援,2026-01-08 16:06:00,2026-01-09 05:06:00,2026-01-09 05:26:00,20,101,19.84,True,8.91,通过,17.94,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000045,OP0287,UAV02265,多旋翼无人机,上海,310000,华东,RT_310000_057,应急救援,2026-03-05 12:06:00,2026-03-06 04:06:00,2026-03-06 04:46:00,40,92,44.62,True,3.92,通过,40.92,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000046,OP0506,UAV01753,多旋翼无人机,西安,610100,西北,RT_610100_012,电力巡检,2026-06-04 07:00:00,2026-06-04 15:00:00,2026-06-04 15:27:00,27,61,8.52,False,4.39,待审,17.22,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000047,OP0469,UAV02676,复合翼无人机,广州,440100,中南,RT_440100_057,医疗物资运输,2026-04-23 01:26:00,2026-04-24 02:26:00,2026-04-24 02:50:00,24,66,35.69,True,6.98,通过,57.17,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000048,OP0568,UAV02026,复合翼无人机,南京,320100,华东,RT_320100_018,城市治理巡检,2026-03-09 20:23:00,2026-03-09 23:23:00,2026-03-09 23:50:00,27,121,25.23,True,10.39,通过,69.39,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000049,OP0097,UAV00896,多旋翼无人机,海口,460100,中南,RT_460100_058,电力巡检,2026-02-01 15:33:00,2026-02-02 22:33:00,2026-02-02 23:07:00,34,89,30.44,True,6.74,通过,44.2,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000050,OP0060,UAV00117,多旋翼无人机,青岛,370200,华东,RT_370200_021,文旅观光,2026-06-13 01:05:00,2026-06-13 04:05:00,2026-06-13 04:27:00,22,61,32.86,True,4.07,需补充材料,19.84,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000051,OP0332,UAV00530,多旋翼无人机,厦门,350200,华东,RT_350200_019,电力巡检,2026-03-27 01:42:00,2026-03-28 01:42:00,2026-03-28 02:17:00,35,100,14.16,True,2.86,通过,41.27,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000052,OP0445,UAV01987,直升机,上海,310000,华东,RT_310000_047,交通巡查,2026-04-28 03:23:00,2026-04-29 08:23:00,2026-04-29 09:18:00,55,76,29.32,False,59.72,通过,86.59,高,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000053,OP0180,UAV00709,多旋翼无人机,武汉,420100,中南,RT_420100_011,文旅观光,2026-02-03 01:47:00,2026-02-03 06:47:00,2026-02-03 07:42:00,55,80,60.22,False,0.38,通过,44.29,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000054,OP0158,UAV01505,多旋翼无人机,深圳,440300,中南,RT_440300_033,电力巡检,2026-04-29 09:43:00,2026-04-30 18:43:00,2026-04-30 19:43:00,60,123,21.21,False,5.5,通过,28.38,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000055,OP0609,UAV02114,eVTOL,上海,310000,华东,RT_310000_048,园区低空运营,2026-04-28 12:40:00,2026-04-29 07:40:00,2026-04-29 08:28:00,48,95,30.77,False,121.09,待审,55.68,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000056,OP0043,UAV02471,多旋翼无人机,北京,110000,华北,RT_110000_004,文旅观光,2026-06-16 17:04:00,2026-06-17 15:04:00,2026-06-17 15:13:00,9,116,38.19,False,0.28,通过,23.76,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000057,OP0336,UAV00141,多旋翼无人机,青岛,370200,华东,RT_370200_057,应急救援,2026-06-01 22:56:00,2026-06-02 21:56:00,2026-06-02 22:25:00,29,108,27.51,True,1.62,需补充材料,49.13,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000058,OP0569,UAV00569,复合翼无人机,东莞,441900,中南,RT_441900_050,园区低空运营,2026-04-15 19:24:00,2026-04-16 02:24:00,2026-04-16 03:09:00,45,57,15.35,True,7.3,需补充材料,7.35,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000059,OP0571,UAV02457,多旋翼无人机,合肥,340100,华东,RT_340100_009,文旅观光,2026-05-04 14:47:00,2026-05-05 21:47:00,2026-05-05 22:21:00,34,76,17.46,True,0.0,通过,21.38,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000060,OP0120,UAV02779,多旋翼无人机,成都,510100,西南,RT_510100_030,交通巡查,2026-04-23 07:05:00,2026-04-23 20:05:00,2026-04-23 20:56:00,51,47,28.2,True,4.02,通过,52.9,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000061,OP0565,UAV02335,多旋翼无人机,郑州,410100,中南,RT_410100_047,园区低空运营,2026-06-26 19:29:00,2026-06-27 07:29:00,2026-06-27 07:52:00,23,101,26.76,False,6.41,撤销,13.46,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000062,OP0059,UAV00721,多旋翼无人机,厦门,350200,华东,RT_350200_039,文旅观光,2026-01-05 03:23:00,2026-01-06 10:23:00,2026-01-06 11:01:00,38,52,33.29,False,0.0,通过,57.54,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000063,OP0068,UAV02545,固定翼无人机,北京,110000,华北,RT_110000_031,医疗物资运输,2026-02-28 03:45:00,2026-03-01 03:45:00,2026-03-01 04:26:00,41,113,32.27,True,9.06,通过,16.29,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000064,OP0400,UAV02318,多旋翼无人机,北京,110000,华北,RT_110000_001,应急救援,2026-01-18 08:38:00,2026-01-19 00:38:00,2026-01-19 01:11:00,33,88,13.12,True,2.41,通过,34.92,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000065,OP0599,UAV00724,多旋翼无人机,广州,440100,中南,RT_440100_036,交通巡查,2026-01-18 03:29:00,2026-01-19 15:29:00,2026-01-19 16:16:00,47,119,37.37,False,3.31,通过,41.03,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000066,OP0420,UAV02688,多旋翼无人机,杭州,330100,华东,RT_330100_004,城市治理巡检,2026-03-19 09:42:00,2026-03-19 13:42:00,2026-03-19 14:26:00,44,59,13.3,False,1.11,通过,80.89,高,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000067,OP0222,UAV02148,多旋翼无人机,长沙,430100,中南,RT_430100_033,城市治理巡检,2026-06-15 07:38:00,2026-06-15 13:38:00,2026-06-15 14:23:00,45,73,33.38,False,2.17,通过,14.32,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000068,OP0355,UAV01892,多旋翼无人机,海口,460100,中南,RT_460100_039,低空物流配送,2026-02-06 04:56:00,2026-02-06 18:56:00,2026-02-06 19:48:00,52,92,15.35,False,4.43,通过,60.78,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000069,OP0466,UAV02628,多旋翼无人机,武汉,420100,中南,RT_420100_023,医疗物资运输,2026-05-26 18:45:00,2026-05-27 11:45:00,2026-05-27 12:11:00,26,106,34.16,False,0.99,待审,3.97,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000070,OP0486,UAV02705,多旋翼无人机,杭州,330100,华东,RT_330100_045,文旅观光,2026-05-31 00:22:00,2026-05-31 04:22:00,2026-05-31 05:09:00,47,107,56.13,True,2.15,通过,11.44,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000071,OP0324,UAV02754,多旋翼无人机,青岛,370200,华东,RT_370200_047,文旅观光,2026-03-02 21:23:00,2026-03-04 00:23:00,2026-03-04 00:37:00,14,112,54.31,True,0.14,需补充材料,62.02,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000072,OP0292,UAV02747,固定翼无人机,成都,510100,西南,RT_510100_023,医疗物资运输,2026-05-10 02:55:00,2026-05-11 02:55:00,2026-05-11 03:27:00,32,113,49.62,True,6.13,通过,26.4,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000073,OP0492,UAV02724,直升机,南京,320100,华东,RT_320100_018,城市治理巡检,2026-04-10 07:05:00,2026-04-10 17:05:00,2026-04-10 17:34:00,29,117,25.23,False,57.29,通过,27.5,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000074,OP0424,UAV00817,多旋翼无人机,深圳,440300,中南,RT_440300_022,电力巡检,2026-01-12 11:21:00,2026-01-13 21:21:00,2026-01-13 21:30:00,9,120,65.42,True,1.59,通过,16.57,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000075,OP0577,UAV01330,多旋翼无人机,西安,610100,西北,RT_610100_012,电力巡检,2026-01-04 15:05:00,2026-01-05 18:05:00,2026-01-05 18:54:00,49,46,8.52,False,0.0,通过,6.23,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000076,OP0078,UAV00948,多旋翼无人机,深圳,440300,中南,RT_440300_047,城市治理巡检,2026-03-21 20:21:00,2026-03-23 08:21:00,2026-03-23 08:59:00,38,107,23.86,False,2.75,通过,41.25,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000077,OP0296,UAV02634,多旋翼无人机,成都,510100,西南,RT_510100_008,电力巡检,2026-05-25 05:27:00,2026-05-25 16:27:00,2026-05-25 17:00:00,33,72,19.17,False,0.0,驳回,16.3,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000078,OP0502,UAV02684,复合翼无人机,深圳,440300,中南,RT_440300_036,城市治理巡检,2026-04-26 12:26:00,2026-04-28 00:26:00,2026-04-28 00:57:00,31,128,26.14,True,7.39,通过,32.75,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000079,OP0216,UAV02203,多旋翼无人机,郑州,410100,中南,RT_410100_013,医疗物资运输,2026-01-05 13:18:00,2026-01-05 16:18:00,2026-01-05 16:57:00,39,52,39.99,False,2.61,通过,30.67,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000080,OP0077,UAV00895,eVTOL,苏州,320500,华东,RT_320500_003,园区低空运营,2026-03-21 16:10:00,2026-03-22 11:10:00,2026-03-22 11:41:00,31,116,35.91,False,118.06,待审,49.19,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000081,OP0280,UAV02781,固定翼无人机,厦门,350200,华东,RT_350200_018,城市治理巡检,2026-03-06 23:41:00,2026-03-07 01:41:00,2026-03-07 01:57:00,16,100,36.08,True,8.35,驳回,24.7,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000082,OP0103,UAV01035,多旋翼无人机,合肥,340100,华东,RT_340100_023,电力巡检,2026-05-27 12:38:00,2026-05-28 11:38:00,2026-05-28 12:19:00,41,90,39.94,False,2.65,通过,44.17,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000083,OP0418,UAV00127,直升机,深圳,440300,中南,RT_440300_058,园区低空运营,2026-06-07 22:00:00,2026-06-08 02:00:00,2026-06-08 02:37:00,37,116,38.43,True,63.29,通过,58.08,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000084,OP0409,UAV01735,直升机,成都,510100,西南,RT_510100_047,城市治理巡检,2026-06-07 00:57:00,2026-06-07 09:57:00,2026-06-07 10:45:00,48,112,58.83,False,59.98,通过,3.8,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000085,OP0155,UAV01246,直升机,郑州,410100,中南,RT_410100_031,交通巡查,2026-02-26 15:45:00,2026-02-26 22:45:00,2026-02-26 23:22:00,37,179,24.5,True,63.01,需补充材料,32.54,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000086,OP0471,UAV02155,多旋翼无人机,长沙,430100,中南,RT_430100_016,应急救援,2026-06-15 07:35:00,2026-06-15 12:35:00,2026-06-15 12:49:00,14,109,3.8,False,4.77,通过,29.97,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000087,OP0209,UAV02783,直升机,长沙,430100,中南,RT_430100_034,园区低空运营,2026-01-24 21:02:00,2026-01-26 00:02:00,2026-01-26 00:27:00,25,45,21.52,True,59.99,通过,20.66,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000088,OP0274,UAV00166,多旋翼无人机,北京,110000,华北,RT_110000_037,电力巡检,2026-05-17 03:11:00,2026-05-17 12:11:00,2026-05-17 12:45:00,34,83,5.76,False,4.35,通过,37.41,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000089,OP0448,UAV01139,多旋翼无人机,广州,440100,中南,RT_440100_007,交通巡查,2026-02-20 06:58:00,2026-02-21 17:58:00,2026-02-21 18:47:00,49,48,39.2,False,3.77,通过,48.07,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000090,OP0139,UAV01766,多旋翼无人机,南京,320100,华东,RT_320100_006,低空物流配送,2026-02-18 20:16:00,2026-02-19 18:16:00,2026-02-19 18:34:00,18,103,28.0,False,4.06,通过,23.42,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000091,OP0090,UAV00844,多旋翼无人机,珠海,440400,中南,RT_440400_043,文旅观光,2026-03-05 01:27:00,2026-03-06 05:27:00,2026-03-06 06:31:00,64,57,69.01,True,3.65,通过,45.86,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000092,OP0483,UAV00912,eVTOL,长沙,430100,中南,RT_430100_026,低空物流配送,2026-04-30 16:49:00,2026-05-01 05:49:00,2026-05-01 06:16:00,27,42,26.56,True,117.8,待审,12.15,低,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000093,OP0126,UAV01433,固定翼无人机,厦门,350200,华东,RT_350200_038,文旅观光,2026-02-24 04:09:00,2026-02-24 11:09:00,2026-02-24 12:00:00,51,140,57.65,False,6.34,驳回,84.86,高,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000094,OP0640,UAV01003,复合翼无人机,西安,610100,西北,RT_610100_042,园区低空运营,2026-03-06 07:02:00,2026-03-07 16:02:00,2026-03-07 17:17:00,75,116,5.83,False,9.58,待审,60.92,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000095,OP0051,UAV00108,多旋翼无人机,西安,610100,西北,RT_610100_059,电力巡检,2026-02-14 13:47:00,2026-02-15 08:47:00,2026-02-15 09:29:00,42,82,25.36,False,4.57,通过,48.94,中,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
FP000096,OP0271,UAV00759,复合翼无人机,合肥,340100,华东,RT_340100_016,电力巡检,2026-02-07 21:15:00,2026-02-08 20:15:00,2026-02-08 20:52:00,37,46,45.54,True,6.9,通过,82.43,高,simulated_demo_sample,飞行计划为平台演示样本，非真实申报记录。
