grid_id,city,city_code,region,centroid_lat,centroid_lon,airspace_class,max_allowed_altitude_m,nearby_airport_distance_km,population_density_index,flight_density_index,sensor_coverage_score,communication_quality_score,weather_risk_score,computed_risk_score,computed_risk_level,no_fly_or_control_reason,data_nature,source_basis
110000_G0045,北京,110000,华北,40.107448,116.225496,适飞空域,120,40.18,1954.88,6.18,0.833,0.718,0.535,18.57,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0046,北京,110000,华北,40.17566,116.237661,适飞空域,120,0.72,3125.7,19.95,0.429,0.969,0.161,32.31,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0047,北京,110000,华北,40.023978,116.568639,适飞空域,120,2.96,2151.06,23.88,0.484,0.707,0.269,34.81,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0048,北京,110000,华北,39.832132,116.682944,适飞空域,120,24.3,1232.02,1.1,0.819,0.842,0.123,5.47,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0049,北京,110000,华北,40.066601,116.451987,适飞空域,120,5.5,3430.26,10.28,0.794,0.782,0.254,16.36,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0050,北京,110000,华北,39.742239,116.347716,适飞空域,120,3.16,840.07,10.41,0.842,0.833,0.666,40.73,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0051,北京,110000,华北,39.879254,116.295668,适飞空域,120,36.12,2996.64,1.79,0.775,0.938,0.05,7.17,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0052,北京,110000,华北,39.635658,116.591784,适飞空域,120,4.17,258.77,15.18,0.481,0.651,0.054,29.88,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0053,北京,110000,华北,39.627431,116.618606,适飞空域,120,32.34,1837.8,7.01,0.884,0.839,0.659,23.74,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0054,北京,110000,华北,39.668563,116.437602,禁飞区,0,5.23,2451.15,3.56,0.827,0.851,0.341,100.0,严重,机场/党政机关/军事/重大活动等禁飞范围演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0055,北京,110000,华北,39.913196,116.493644,机场净空保护区,30,33.05,2011.37,3.1,0.996,0.845,0.182,63.26,高,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0056,北京,110000,华北,39.920083,116.637746,适飞空域,120,18.81,2967.93,19.95,0.633,0.897,0.228,12.62,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0057,北京,110000,华北,39.998819,116.210697,禁飞区,0,9.44,71.29,5.72,0.806,0.927,0.136,92.38,严重,机场/党政机关/军事/重大活动等禁飞范围演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0058,北京,110000,华北,39.84942,116.123736,机场净空保护区,30,8.31,881.15,29.62,0.764,0.974,0.244,75.46,高,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0059,北京,110000,华北,40.133855,116.219233,管制空域,60,18.93,5014.13,10.69,0.77,0.786,0.319,41.68,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0060,北京,110000,华北,39.810053,116.318993,适飞空域,120,29.93,1151.9,8.13,0.734,0.41,0.54,12.53,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0061,北京,110000,华北,40.175568,116.386761,管制空域,60,11.04,1458.84,20.38,0.494,0.853,0.251,67.48,高,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0062,北京,110000,华北,40.053474,116.498991,管制空域,60,7.49,2588.32,12.07,0.691,0.974,0.314,59.74,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0063,北京,110000,华北,39.666108,116.365267,禁飞区,0,33.23,2960.69,19.94,0.763,0.818,0.481,89.54,严重,机场/党政机关/军事/重大活动等禁飞范围演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0064,北京,110000,华北,39.860711,116.623386,适飞空域,120,8.56,1149.16,15.95,0.938,0.84,0.157,32.95,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0065,北京,110000,华北,39.738928,116.320366,敏感目标保护区,50,34.06,889.54,19.43,0.707,0.809,0.274,65.8,高,学校/医院/人群密集区/敏感设施演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0066,北京,110000,华北,40.061108,116.197759,管制空域,60,7.25,2900.58,8.1,0.877,0.493,0.325,54.96,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0067,北京,110000,华北,39.975486,116.563027,机场净空保护区,30,2.47,2283.65,17.94,0.593,0.962,0.382,81.6,严重,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0068,北京,110000,华北,39.797169,116.41717,敏感目标保护区,50,52.66,976.56,12.83,0.848,0.678,0.543,70.28,高,学校/医院/人群密集区/敏感设施演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0069,北京,110000,华北,39.927157,116.112229,适飞空域,120,20.1,255.17,5.02,0.848,0.716,0.318,12.74,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0070,北京,110000,华北,39.707149,116.199341,机场净空保护区,30,6.09,2575.19,8.0,0.942,0.732,0.189,75.94,高,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0071,北京,110000,华北,39.873791,116.123831,禁飞区,0,39.79,3184.99,2.11,0.651,0.598,0.236,84.48,严重,机场/党政机关/军事/重大活动等禁飞范围演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0072,北京,110000,华北,39.901721,116.533772,机场净空保护区,30,26.79,1379.78,27.59,0.837,0.396,0.331,61.63,高,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0073,北京,110000,华北,40.037572,116.499877,适飞空域,120,50.65,830.9,8.15,0.895,0.56,0.092,8.64,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0074,北京,110000,华北,40.118208,116.390855,适飞空域,120,2.02,5006.92,4.31,0.708,0.821,0.164,22.64,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0075,北京,110000,华北,39.824096,116.122732,适飞空域,120,14.75,3987.17,8.62,0.851,0.549,0.213,12.29,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0076,北京,110000,华北,40.141215,116.457073,适飞空域,120,3.41,2230.04,31.9,0.856,0.608,0.057,21.86,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0077,北京,110000,华北,39.836308,116.517864,敏感目标保护区,50,2.12,3678.29,17.38,0.906,0.762,0.253,77.65,高,学校/医院/人群密集区/敏感设施演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0078,北京,110000,华北,39.817697,116.245726,适飞空域,120,2.46,1365.66,1.64,0.266,0.516,0.103,20.59,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0079,北京,110000,华北,39.914287,116.608186,管制空域,60,9.51,1874.42,21.56,0.914,0.967,0.321,57.85,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0080,北京,110000,华北,40.079308,116.250111,机场净空保护区,30,8.06,654.43,12.86,0.496,0.663,0.364,73.44,高,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0081,北京,110000,华北,39.677677,116.608127,文旅体验区,120,3.74,2092.31,8.65,0.596,0.907,0.313,44.09,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0082,北京,110000,华北,39.984804,116.090735,适飞空域,120,1.49,920.29,22.57,0.875,0.731,0.335,35.32,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0083,北京,110000,华北,40.137482,116.172285,适飞空域,120,32.95,1142.77,16.68,0.387,0.501,0.137,14.08,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0084,北京,110000,华北,40.082953,116.411952,管制空域,60,0.5,4183.51,7.43,0.561,0.615,0.378,67.4,高,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0085,北京,110000,华北,40.060794,116.321918,管制空域,60,7.6,2069.61,1.95,0.802,0.927,0.331,65.09,高,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0086,北京,110000,华北,39.963462,116.328436,低空物流走廊,150,12.18,3015.85,18.43,0.527,0.627,0.392,37.62,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0087,北京,110000,华北,40.170138,116.532372,低空物流走廊,150,2.6,819.61,10.37,0.702,0.639,0.308,27.63,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0088,北京,110000,华北,39.896557,116.101771,文旅体验区,120,1.48,1766.4,23.9,0.644,0.208,0.247,46.78,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0089,北京,110000,华北,40.131116,116.698493,适飞空域,120,28.87,1861.26,11.49,0.837,0.903,0.531,15.69,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0090,北京,110000,华北,39.66306,116.170832,适飞空域,120,3.67,4518.93,2.14,0.893,0.729,0.483,32.02,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0091,北京,110000,华北,40.110907,116.382277,管制空域,60,19.0,1384.04,1.1,0.839,0.952,0.163,43.83,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0092,北京,110000,华北,40.083039,116.276821,敏感目标保护区,50,10.87,2132.81,7.07,0.419,0.597,0.172,72.02,高,学校/医院/人群密集区/敏感设施演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0093,北京,110000,华北,39.669633,116.312902,禁飞区,0,0.5,1416.55,11.23,0.619,0.92,0.206,89.4,严重,机场/党政机关/军事/重大活动等禁飞范围演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0094,北京,110000,华北,39.647125,116.206537,适飞空域,120,43.74,581.71,5.22,0.694,0.868,0.075,19.42,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0095,北京,110000,华北,39.662233,116.431635,适飞空域,120,10.41,1085.99,39.67,0.768,0.749,0.106,11.28,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0096,北京,110000,华北,40.024314,116.599833,管制空域,60,146.94,1653.32,20.23,0.84,0.925,0.205,57.21,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0097,北京,110000,华北,40.067949,116.364688,适飞空域,120,0.77,824.12,3.66,0.534,0.405,0.393,39.76,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0098,北京,110000,华北,39.94507,116.255952,管制空域,60,25.32,4086.29,10.9,0.66,0.664,0.67,68.74,高,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0099,北京,110000,华北,39.962191,116.398418,机场净空保护区,30,27.35,696.74,22.85,0.892,0.674,0.153,56.24,中,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0100,北京,110000,华北,40.00465,116.453727,管制空域,60,7.5,5639.33,10.11,0.761,0.694,0.095,53.02,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0101,北京,110000,华北,39.829189,116.390497,适飞空域,120,28.52,3361.84,17.21,0.517,0.816,0.221,11.75,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0102,北京,110000,华北,39.764729,116.726502,适飞空域,120,10.4,3146.4,26.07,0.606,0.87,0.651,37.06,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0103,北京,110000,华北,40.14429,116.453102,机场净空保护区,30,29.82,650.01,3.08,0.932,0.994,0.3,59.04,中,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0104,北京,110000,华北,39.874856,116.223865,适飞空域,120,6.18,3323.2,12.62,0.683,0.865,0.262,30.76,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0105,北京,110000,华北,39.734369,116.555088,适飞空域,120,0.74,2702.16,6.89,0.955,0.608,0.173,25.33,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0106,北京,110000,华北,39.954729,116.706548,机场净空保护区,30,4.91,2085.07,5.27,0.59,0.88,0.261,78.76,高,机场净空保护区演示值,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0107,北京,110000,华北,39.790594,116.442434,适飞空域,120,1.0,1704.37,18.98,0.766,0.564,0.595,23.68,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0108,北京,110000,华北,40.027824,116.257978,适飞空域,120,27.68,577.0,8.48,0.849,0.826,0.357,25.03,低,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
110000_G0109,北京,110000,华北,39.904368,116.2066,管制空域,60,40.88,3763.64,43.73,0.737,0.884,0.554,55.95,中,,simulated_demo_sample,由城市中心参考点、空域类型、风险规则随机生成；用于平台原型/热力图演示，非真实空域划设。
