route_id,city,city_code,region,scenario,origin_vertiport_id,destination_vertiport_id,route_distance_km,planned_altitude_m,corridor_width_m,daily_planned_sorties,route_status,risk_control_requirement,data_nature,source_basis
RT_310000_014,上海,310000,华东,文旅观光,VP_310000_026,VP_310000_028,15.79,100,80,14,暂停,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_015,上海,310000,华东,电力巡检,VP_310000_042,VP_310000_005,15.96,120,80,22,暂停,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_016,上海,310000,华东,文旅观光,VP_310000_041,VP_310000_005,62.17,100,120,4,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_017,上海,310000,华东,交通巡查,VP_310000_004,VP_310000_026,51.41,80,120,43,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_018,上海,310000,华东,应急救援,VP_310000_037,VP_310000_001,37.11,80,150,3,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_019,上海,310000,华东,电力巡检,VP_310000_022,VP_310000_012,29.13,60,60,18,试运行,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_020,上海,310000,华东,交通巡查,VP_310000_041,VP_310000_019,29.05,100,100,18,试运行,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_021,上海,310000,华东,应急救援,VP_310000_019,VP_310000_008,54.06,60,60,15,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_022,上海,310000,华东,医疗物资运输,VP_310000_028,VP_310000_035,23.84,60,150,1,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_023,上海,310000,华东,应急救援,VP_310000_034,VP_310000_016,39.7,100,80,5,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_024,上海,310000,华东,交通巡查,VP_310000_029,VP_310000_016,6.54,60,80,11,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_025,上海,310000,华东,园区低空运营,VP_310000_012,VP_310000_016,25.11,80,100,10,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_026,上海,310000,华东,文旅观光,VP_310000_006,VP_310000_010,20.87,120,120,14,试运行,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_027,上海,310000,华东,园区低空运营,VP_310000_021,VP_310000_029,35.02,60,120,3,规划,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_028,上海,310000,华东,电力巡检,VP_310000_033,VP_310000_001,43.46,100,60,24,暂停,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_029,上海,310000,华东,城市治理巡检,VP_310000_035,VP_310000_029,22.89,150,120,14,试运行,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_030,上海,310000,华东,文旅观光,VP_310000_029,VP_310000_008,42.11,80,150,8,暂停,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_031,上海,310000,华东,电力巡检,VP_310000_029,VP_310000_009,42.59,150,120,13,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_032,上海,310000,华东,城市治理巡检,VP_310000_006,VP_310000_018,27.47,100,150,13,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_033,上海,310000,华东,医疗物资运输,VP_310000_035,VP_310000_036,25.91,80,150,17,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_034,上海,310000,华东,医疗物资运输,VP_310000_006,VP_310000_024,33.05,100,150,10,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_035,上海,310000,华东,低空物流配送,VP_310000_009,VP_310000_045,48.33,60,80,28,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_036,上海,310000,华东,文旅观光,VP_310000_039,VP_310000_004,26.63,120,150,7,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_037,上海,310000,华东,城市治理巡检,VP_310000_038,VP_310000_045,58.28,80,80,16,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_038,上海,310000,华东,电力巡检,VP_310000_034,VP_310000_043,43.98,60,150,2,试运行,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_039,上海,310000,华东,园区低空运营,VP_310000_042,VP_310000_004,43.05,150,80,5,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_040,上海,310000,华东,医疗物资运输,VP_310000_025,VP_310000_028,44.72,80,120,8,规划,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_041,上海,310000,华东,交通巡查,VP_310000_039,VP_310000_043,44.48,150,120,9,试运行,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_042,上海,310000,华东,电力巡检,VP_310000_006,VP_310000_017,13.8,100,150,4,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_043,上海,310000,华东,医疗物资运输,VP_310000_025,VP_310000_009,41.88,150,150,23,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_044,上海,310000,华东,园区低空运营,VP_310000_006,VP_310000_033,15.05,80,100,6,试运行,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_045,上海,310000,华东,城市治理巡检,VP_310000_007,VP_310000_006,20.34,120,120,6,试运行,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_046,上海,310000,华东,医疗物资运输,VP_310000_025,VP_310000_003,0.51,80,120,5,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_047,上海,310000,华东,交通巡查,VP_310000_043,VP_310000_040,29.32,80,150,3,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_048,上海,310000,华东,园区低空运营,VP_310000_035,VP_310000_032,30.77,100,80,15,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_049,上海,310000,华东,城市治理巡检,VP_310000_044,VP_310000_030,10.37,100,150,21,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_050,上海,310000,华东,交通巡查,VP_310000_026,VP_310000_022,31.45,80,120,17,试运行,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_051,上海,310000,华东,医疗物资运输,VP_310000_012,VP_310000_039,30.6,100,60,9,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_052,上海,310000,华东,文旅观光,VP_310000_023,VP_310000_026,37.0,120,100,4,规划,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_053,上海,310000,华东,交通巡查,VP_310000_013,VP_310000_024,14.75,120,150,14,运营,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_054,上海,310000,华东,交通巡查,VP_310000_006,VP_310000_025,40.57,80,100,6,规划,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_055,上海,310000,华东,文旅观光,VP_310000_017,VP_310000_020,27.57,120,150,7,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_056,上海,310000,华东,城市治理巡检,VP_310000_029,VP_310000_023,21.55,120,100,69,试运行,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_057,上海,310000,华东,应急救援,VP_310000_034,VP_310000_031,44.62,80,60,13,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_058,上海,310000,华东,应急救援,VP_310000_036,VP_310000_031,57.0,150,60,33,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_059,上海,310000,华东,园区低空运营,VP_310000_022,VP_310000_030,38.87,150,60,15,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_310000_060,上海,310000,华东,城市治理巡检,VP_310000_037,VP_310000_008,36.72,60,100,10,规划,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_001,东莞,441900,中南,医疗物资运输,VP_441900_013,VP_441900_035,29.96,150,150,27,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_002,东莞,441900,中南,电力巡检,VP_441900_043,VP_441900_039,65.46,60,80,7,暂停,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_003,东莞,441900,中南,园区低空运营,VP_441900_014,VP_441900_025,29.23,80,60,13,试运行,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_004,东莞,441900,中南,电力巡检,VP_441900_019,VP_441900_031,19.75,120,120,8,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_005,东莞,441900,中南,电力巡检,VP_441900_037,VP_441900_012,46.46,120,120,9,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_006,东莞,441900,中南,园区低空运营,VP_441900_016,VP_441900_031,32.49,120,80,9,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_007,东莞,441900,中南,文旅观光,VP_441900_013,VP_441900_006,15.21,100,60,32,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_008,东莞,441900,中南,交通巡查,VP_441900_002,VP_441900_024,31.15,60,80,4,试运行,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_009,东莞,441900,中南,交通巡查,VP_441900_024,VP_441900_011,36.54,100,120,22,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_010,东莞,441900,中南,园区低空运营,VP_441900_019,VP_441900_039,42.22,60,120,6,规划,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_011,东莞,441900,中南,园区低空运营,VP_441900_022,VP_441900_035,38.26,100,80,13,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_012,东莞,441900,中南,医疗物资运输,VP_441900_023,VP_441900_041,47.75,80,60,5,运营,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_013,东莞,441900,中南,电力巡检,VP_441900_024,VP_441900_014,26.13,100,150,25,暂停,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_014,东莞,441900,中南,低空物流配送,VP_441900_023,VP_441900_044,38.57,80,80,7,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_015,东莞,441900,中南,应急救援,VP_441900_042,VP_441900_029,31.19,80,120,11,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_016,东莞,441900,中南,交通巡查,VP_441900_004,VP_441900_014,6.88,150,60,6,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_017,东莞,441900,中南,文旅观光,VP_441900_040,VP_441900_044,27.54,120,80,7,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_018,东莞,441900,中南,医疗物资运输,VP_441900_038,VP_441900_042,20.79,120,100,16,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_019,东莞,441900,中南,低空物流配送,VP_441900_027,VP_441900_003,42.76,80,60,11,规划,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_020,东莞,441900,中南,城市治理巡检,VP_441900_011,VP_441900_015,49.82,150,60,16,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_021,东莞,441900,中南,园区低空运营,VP_441900_031,VP_441900_010,32.44,120,60,16,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_022,东莞,441900,中南,城市治理巡检,VP_441900_027,VP_441900_025,41.39,100,120,24,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_023,东莞,441900,中南,应急救援,VP_441900_001,VP_441900_010,31.46,100,100,4,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_024,东莞,441900,中南,电力巡检,VP_441900_032,VP_441900_013,8.23,80,120,34,规划,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_025,东莞,441900,中南,医疗物资运输,VP_441900_029,VP_441900_005,44.06,60,120,8,试运行,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_026,东莞,441900,中南,医疗物资运输,VP_441900_033,VP_441900_025,17.2,100,80,5,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_027,东莞,441900,中南,应急救援,VP_441900_019,VP_441900_043,23.39,80,100,2,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_028,东莞,441900,中南,文旅观光,VP_441900_005,VP_441900_034,12.39,100,120,5,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_029,东莞,441900,中南,文旅观光,VP_441900_017,VP_441900_002,36.71,120,100,2,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_030,东莞,441900,中南,电力巡检,VP_441900_023,VP_441900_011,32.67,120,100,7,规划,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_031,东莞,441900,中南,城市治理巡检,VP_441900_020,VP_441900_022,27.09,80,80,23,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_032,东莞,441900,中南,城市治理巡检,VP_441900_030,VP_441900_041,51.14,120,150,28,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_033,东莞,441900,中南,交通巡查,VP_441900_042,VP_441900_003,24.45,100,100,13,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_034,东莞,441900,中南,低空物流配送,VP_441900_034,VP_441900_003,24.62,150,80,4,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_035,东莞,441900,中南,应急救援,VP_441900_023,VP_441900_020,40.13,100,150,2,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_036,东莞,441900,中南,文旅观光,VP_441900_033,VP_441900_008,58.05,120,120,7,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_037,东莞,441900,中南,应急救援,VP_441900_007,VP_441900_021,14.95,100,100,6,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_038,东莞,441900,中南,低空物流配送,VP_441900_010,VP_441900_042,34.06,60,80,18,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_039,东莞,441900,中南,文旅观光,VP_441900_034,VP_441900_036,54.31,150,100,6,规划,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_040,东莞,441900,中南,电力巡检,VP_441900_023,VP_441900_031,39.17,100,150,33,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_041,东莞,441900,中南,应急救援,VP_441900_045,VP_441900_033,29.9,120,80,26,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_042,东莞,441900,中南,低空物流配送,VP_441900_002,VP_441900_029,24.68,120,60,5,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_043,东莞,441900,中南,电力巡检,VP_441900_043,VP_441900_028,30.84,120,80,2,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_044,东莞,441900,中南,文旅观光,VP_441900_016,VP_441900_030,17.57,100,80,19,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_045,东莞,441900,中南,园区低空运营,VP_441900_017,VP_441900_043,53.99,120,120,6,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_046,东莞,441900,中南,文旅观光,VP_441900_007,VP_441900_008,52.76,120,100,25,规划,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_047,东莞,441900,中南,城市治理巡检,VP_441900_014,VP_441900_033,39.31,120,60,27,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_048,东莞,441900,中南,电力巡检,VP_441900_017,VP_441900_025,22.73,100,150,16,规划,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_049,东莞,441900,中南,电力巡检,VP_441900_014,VP_441900_017,39.66,120,150,13,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_050,东莞,441900,中南,园区低空运营,VP_441900_023,VP_441900_012,15.35,60,150,10,规划,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_051,东莞,441900,中南,电力巡检,VP_441900_013,VP_441900_011,34.45,80,60,26,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_052,东莞,441900,中南,医疗物资运输,VP_441900_045,VP_441900_031,59.85,120,120,16,暂停,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_053,东莞,441900,中南,园区低空运营,VP_441900_008,VP_441900_006,59.41,60,100,11,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_054,东莞,441900,中南,低空物流配送,VP_441900_035,VP_441900_001,42.17,150,100,3,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_055,东莞,441900,中南,城市治理巡检,VP_441900_012,VP_441900_025,28.71,60,60,9,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_056,东莞,441900,中南,园区低空运营,VP_441900_021,VP_441900_016,28.78,150,100,7,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_057,东莞,441900,中南,交通巡查,VP_441900_001,VP_441900_034,43.0,80,150,18,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_058,东莞,441900,中南,电力巡检,VP_441900_037,VP_441900_015,20.99,60,150,8,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_059,东莞,441900,中南,应急救援,VP_441900_042,VP_441900_030,23.03,100,80,12,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_441900_060,东莞,441900,中南,低空物流配送,VP_441900_001,VP_441900_036,36.02,120,150,11,规划,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_001,北京,110000,华北,应急救援,VP_110000_003,VP_110000_043,13.12,100,100,8,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_002,北京,110000,华北,城市治理巡检,VP_110000_017,VP_110000_024,39.76,120,60,16,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_003,北京,110000,华北,医疗物资运输,VP_110000_040,VP_110000_033,22.81,60,120,14,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_004,北京,110000,华北,文旅观光,VP_110000_034,VP_110000_031,38.19,120,60,4,暂停,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_005,北京,110000,华北,交通巡查,VP_110000_042,VP_110000_037,17.42,150,150,5,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_006,北京,110000,华北,交通巡查,VP_110000_007,VP_110000_018,24.72,80,100,13,试运行,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_007,北京,110000,华北,低空物流配送,VP_110000_030,VP_110000_007,21.95,150,120,9,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_008,北京,110000,华北,电力巡检,VP_110000_027,VP_110000_042,22.44,100,120,15,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_009,北京,110000,华北,园区低空运营,VP_110000_016,VP_110000_009,31.27,100,120,15,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_010,北京,110000,华北,文旅观光,VP_110000_041,VP_110000_025,36.46,80,120,25,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_011,北京,110000,华北,文旅观光,VP_110000_017,VP_110000_003,34.37,60,100,18,暂停,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_012,北京,110000,华北,医疗物资运输,VP_110000_034,VP_110000_031,40.1,120,60,19,暂停,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_013,北京,110000,华北,文旅观光,VP_110000_010,VP_110000_025,34.63,100,80,27,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_014,北京,110000,华北,文旅观光,VP_110000_002,VP_110000_006,48.71,80,80,2,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_015,北京,110000,华北,电力巡检,VP_110000_026,VP_110000_036,24.0,120,120,21,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_016,北京,110000,华北,城市治理巡检,VP_110000_004,VP_110000_040,35.14,80,120,21,规划,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_017,北京,110000,华北,城市治理巡检,VP_110000_012,VP_110000_015,40.75,80,60,27,运营,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_018,北京,110000,华北,交通巡查,VP_110000_023,VP_110000_040,5.77,120,60,15,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_019,北京,110000,华北,低空物流配送,VP_110000_012,VP_110000_015,38.54,100,80,10,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_020,北京,110000,华北,医疗物资运输,VP_110000_027,VP_110000_004,25.91,150,120,43,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_021,北京,110000,华北,城市治理巡检,VP_110000_024,VP_110000_031,32.91,120,100,2,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_022,北京,110000,华北,城市治理巡检,VP_110000_038,VP_110000_043,13.38,120,150,33,试运行,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_023,北京,110000,华北,电力巡检,VP_110000_001,VP_110000_023,34.09,120,80,24,暂停,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_024,北京,110000,华北,城市治理巡检,VP_110000_020,VP_110000_001,37.95,100,100,7,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_025,北京,110000,华北,电力巡检,VP_110000_040,VP_110000_023,6.06,150,100,1,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_026,北京,110000,华北,交通巡查,VP_110000_025,VP_110000_033,5.17,150,60,3,规划,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_027,北京,110000,华北,低空物流配送,VP_110000_045,VP_110000_012,23.02,150,60,11,试运行,禁夜航,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_028,北京,110000,华北,低空物流配送,VP_110000_030,VP_110000_027,10.57,80,60,7,试运行,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_029,北京,110000,华北,医疗物资运输,VP_110000_018,VP_110000_038,18.69,120,60,10,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_030,北京,110000,华北,园区低空运营,VP_110000_030,VP_110000_032,24.16,100,120,20,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_031,北京,110000,华北,医疗物资运输,VP_110000_003,VP_110000_017,32.27,120,100,9,试运行,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_032,北京,110000,华北,园区低空运营,VP_110000_027,VP_110000_040,10.95,100,120,17,试运行,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_033,北京,110000,华北,低空物流配送,VP_110000_003,VP_110000_008,6.92,100,80,4,运营,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_034,北京,110000,华北,交通巡查,VP_110000_032,VP_110000_038,9.98,100,60,26,暂停,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_035,北京,110000,华北,应急救援,VP_110000_022,VP_110000_044,2.04,120,60,13,规划,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_036,北京,110000,华北,文旅观光,VP_110000_006,VP_110000_039,26.93,100,60,20,暂停,需审批,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_037,北京,110000,华北,电力巡检,VP_110000_023,VP_110000_040,5.76,100,120,38,运营,普通监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
RT_110000_038,北京,110000,华北,文旅观光,VP_110000_025,VP_110000_018,11.33,120,150,11,运营,重点监控,simulated_demo_sample,由模拟起降点组合生成，非真实航线。
