vertiport_id,city,city_code,region,vertiport_type,lat,lon,pad_count,charging_available,daily_capacity_sorties,ground_access_level,approval_status,data_nature,source_basis
VP_110000_017,北京,110000,华北,医疗起降点,40.072831,116.175338,1,True,20,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_018,北京,110000,华北,园区综合起降点,39.976748,116.405281,3,True,40,较好,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_019,北京,110000,华北,园区综合起降点,40.111714,116.26236,1,True,40,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_020,北京,110000,华北,物流起降点,39.989319,116.600517,4,True,120,优秀,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_021,北京,110000,华北,物流起降点,39.748222,116.221064,3,True,80,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_022,北京,110000,华北,医疗起降点,40.025407,116.158585,6,False,200,一般,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_023,北京,110000,华北,园区综合起降点,40.070081,116.470741,2,True,40,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_024,北京,110000,华北,医疗起降点,39.826294,116.420848,4,True,200,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_025,北京,110000,华北,应急救援起降点,39.906088,116.473154,1,True,20,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_026,北京,110000,华北,应急救援起降点,39.835011,116.612437,3,True,80,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_027,北京,110000,华北,应急救援起降点,39.959568,116.456794,2,False,20,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_028,北京,110000,华北,园区综合起降点,39.765602,116.559155,1,True,20,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_029,北京,110000,华北,物流起降点,39.966735,116.425171,1,False,40,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_030,北京,110000,华北,园区综合起降点,40.024137,116.411009,2,True,120,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_031,北京,110000,华北,应急救援起降点,40.074868,116.409148,3,True,40,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_032,北京,110000,华北,eVTOL候机点,39.961091,116.1623,1,False,40,一般,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_033,北京,110000,华北,文旅观光起降点,39.867613,116.447771,3,True,40,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_034,北京,110000,华北,物流起降点,39.826279,116.169002,2,True,20,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_035,北京,110000,华北,物流起降点,39.976003,116.610633,1,True,20,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_036,北京,110000,华北,eVTOL候机点,39.744957,116.438982,1,True,40,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_037,北京,110000,华北,园区综合起降点,39.707254,116.363094,1,True,20,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_038,北京,110000,华北,eVTOL候机点,39.919553,116.258765,1,True,20,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_039,北京,110000,华北,医疗起降点,39.921614,116.551106,4,True,40,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_040,北京,110000,华北,物流起降点,40.035559,116.432402,4,True,80,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_041,北京,110000,华北,园区综合起降点,40.074091,116.133577,1,True,80,较好,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_042,北京,110000,华北,医疗起降点,39.79935,116.509419,1,True,80,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_043,北京,110000,华北,文旅观光起降点,39.828374,116.197145,3,False,80,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_044,北京,110000,华北,文旅观光起降点,40.012414,116.146827,3,True,80,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_110000_045,北京,110000,华北,医疗起降点,40.082759,116.352537,2,True,120,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_001,上海,310000,华东,eVTOL候机点,31.435725,121.263078,1,True,80,优秀,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_002,上海,310000,华东,应急救援起降点,31.101437,121.322148,1,False,80,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_003,上海,310000,华东,eVTOL候机点,31.049838,121.730707,1,True,80,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_004,上海,310000,华东,园区综合起降点,31.317812,121.749803,3,True,120,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_005,上海,310000,华东,物流起降点,31.412773,121.256169,2,False,40,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_006,上海,310000,华东,eVTOL候机点,31.186104,121.366739,1,True,40,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_007,上海,310000,华东,应急救援起降点,31.016468,121.349132,2,False,40,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_008,上海,310000,华东,物流起降点,31.335219,121.246302,1,True,80,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_009,上海,310000,华东,文旅观光起降点,31.105159,121.341423,3,True,80,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_010,上海,310000,华东,应急救援起降点,31.064903,121.51251,1,True,20,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_011,上海,310000,华东,应急救援起降点,31.371977,121.477624,1,True,40,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_012,上海,310000,华东,eVTOL候机点,31.219695,121.464849,2,True,40,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_013,上海,310000,华东,文旅观光起降点,31.229218,121.620533,3,True,80,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_014,上海,310000,华东,园区综合起降点,31.238448,121.519671,4,True,80,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_015,上海,310000,华东,文旅观光起降点,31.424117,121.368693,2,True,40,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_016,上海,310000,华东,园区综合起降点,31.346841,121.665427,1,False,40,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_017,上海,310000,华东,医疗起降点,31.215339,121.234643,3,True,120,优秀,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_018,上海,310000,华东,医疗起降点,31.038231,121.510215,1,True,40,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_019,上海,310000,华东,医疗起降点,31.161304,121.695099,2,True,20,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_020,上海,310000,华东,文旅观光起降点,31.071726,121.376941,1,True,20,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_021,上海,310000,华东,应急救援起降点,31.358818,121.319993,3,False,80,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_022,上海,310000,华东,医疗起降点,31.029452,121.583234,1,True,120,优秀,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_023,上海,310000,华东,园区综合起降点,31.426505,121.486023,1,True,40,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_024,上海,310000,华东,物流起降点,31.126923,121.64027,6,True,200,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_025,上海,310000,华东,物流起降点,31.049997,121.734976,1,True,40,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_026,上海,310000,华东,医疗起降点,31.146961,121.349189,2,True,80,优秀,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_027,上海,310000,华东,园区综合起降点,31.151697,121.699078,2,True,40,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_028,上海,310000,华东,医疗起降点,31.019311,121.344054,4,True,40,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_029,上海,310000,华东,应急救援起降点,31.327176,121.616823,1,False,80,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_030,上海,310000,华东,医疗起降点,31.316884,121.663827,1,True,200,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_031,上海,310000,华东,园区综合起降点,31.436098,121.500959,1,True,40,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_032,上海,310000,华东,eVTOL候机点,31.113965,121.744122,3,True,80,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_033,上海,310000,华东,应急救援起降点,31.083488,121.306305,1,True,40,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_034,上海,310000,华东,应急救援起降点,31.09618,121.51582,2,False,40,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_035,上海,310000,华东,物流起降点,31.18185,121.470851,6,True,40,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_036,上海,310000,华东,文旅观光起降点,31.076055,121.286511,2,False,120,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_037,上海,310000,华东,eVTOL候机点,31.328304,121.59477,1,True,40,优秀,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_038,上海,310000,华东,物流起降点,31.075224,121.278028,1,False,80,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_039,上海,310000,华东,园区综合起降点,31.135725,121.737176,2,True,200,优秀,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_040,上海,310000,华东,园区综合起降点,31.192985,121.69142,1,True,80,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_041,上海,310000,华东,文旅观光起降点,31.022423,121.455234,1,True,200,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_042,上海,310000,华东,应急救援起降点,31.31443,121.34139,2,True,20,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_043,上海,310000,华东,文旅观光起降点,31.414558,121.556259,1,True,80,一般,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_044,上海,310000,华东,文旅观光起降点,31.323156,121.744905,1,True,40,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_310000_045,上海,310000,华东,eVTOL候机点,31.373985,121.681077,1,True,80,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_001,广州,440100,中南,eVTOL候机点,22.915851,113.373564,2,True,40,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_002,广州,440100,中南,园区综合起降点,23.186904,113.348005,1,True,40,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_003,广州,440100,中南,医疗起降点,23.249238,113.260296,3,False,20,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_004,广州,440100,中南,应急救援起降点,23.229161,113.179611,3,True,40,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_005,广州,440100,中南,应急救援起降点,23.157702,113.493203,1,True,20,较好,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_006,广州,440100,中南,eVTOL候机点,22.984563,113.051382,3,True,40,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_007,广州,440100,中南,物流起降点,23.271337,113.076499,2,True,120,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_008,广州,440100,中南,物流起降点,23.299156,112.987214,1,True,40,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_009,广州,440100,中南,物流起降点,23.077298,113.131034,2,True,200,优秀,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_010,广州,440100,中南,eVTOL候机点,22.970129,113.141579,1,True,200,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_011,广州,440100,中南,应急救援起降点,23.180414,113.338288,2,True,40,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_012,广州,440100,中南,eVTOL候机点,23.310122,113.124444,6,False,120,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_013,广州,440100,中南,eVTOL候机点,23.156711,113.035064,1,False,80,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_014,广州,440100,中南,文旅观光起降点,23.007689,113.370941,2,True,20,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_015,广州,440100,中南,eVTOL候机点,23.080302,113.279366,3,True,40,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_016,广州,440100,中南,应急救援起降点,23.295129,113.419113,1,False,80,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_017,广州,440100,中南,应急救援起降点,23.095266,113.386329,3,True,80,优秀,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_018,广州,440100,中南,文旅观光起降点,23.183303,113.085326,1,True,40,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_019,广州,440100,中南,医疗起降点,23.237304,113.236294,3,False,20,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_020,广州,440100,中南,园区综合起降点,22.917709,113.162898,1,False,120,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_021,广州,440100,中南,eVTOL候机点,22.939508,113.303081,1,False,20,优秀,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_022,广州,440100,中南,医疗起降点,23.006108,113.063673,6,True,80,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_023,广州,440100,中南,园区综合起降点,23.017424,113.337177,4,True,40,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_024,广州,440100,中南,eVTOL候机点,23.338832,113.440381,1,False,20,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_025,广州,440100,中南,eVTOL候机点,22.939991,113.143232,1,True,40,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_026,广州,440100,中南,物流起降点,23.006865,113.05711,2,True,40,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_027,广州,440100,中南,应急救援起降点,23.15036,113.012058,3,False,40,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_028,广州,440100,中南,eVTOL候机点,23.220443,113.540128,1,True,40,优秀,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_029,广州,440100,中南,应急救援起降点,23.082181,113.316863,1,True,80,优秀,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_030,广州,440100,中南,医疗起降点,23.244126,113.297412,3,False,20,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_031,广州,440100,中南,物流起降点,23.138293,113.15496,1,True,120,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_032,广州,440100,中南,医疗起降点,23.072448,113.50751,2,False,40,较好,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_033,广州,440100,中南,医疗起降点,23.238519,113.038686,1,True,40,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_034,广州,440100,中南,物流起降点,23.245867,113.303922,3,True,20,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_035,广州,440100,中南,eVTOL候机点,23.15872,113.357117,1,True,40,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_036,广州,440100,中南,文旅观光起降点,23.15774,113.400634,2,True,80,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_037,广州,440100,中南,文旅观光起降点,23.126208,113.407726,2,True,20,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_038,广州,440100,中南,应急救援起降点,22.933492,113.11036,1,True,40,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_039,广州,440100,中南,文旅观光起降点,22.984171,113.398423,2,True,120,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_040,广州,440100,中南,医疗起降点,22.984359,113.05358,2,False,120,一般,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_041,广州,440100,中南,园区综合起降点,22.950127,113.20424,2,True,40,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_042,广州,440100,中南,医疗起降点,23.077968,113.448065,1,True,80,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_043,广州,440100,中南,eVTOL候机点,23.066006,113.388124,2,True,20,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_044,广州,440100,中南,eVTOL候机点,23.308352,113.244585,1,True,120,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440100_045,广州,440100,中南,应急救援起降点,23.099712,113.332571,1,True,20,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_001,深圳,440300,中南,医疗起降点,22.514068,114.14662,3,True,40,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_002,深圳,440300,中南,应急救援起降点,22.444723,114.184112,1,True,20,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_003,深圳,440300,中南,园区综合起降点,22.70727,114.283749,2,False,80,优秀,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_004,深圳,440300,中南,文旅观光起降点,22.481641,114.015841,1,False,40,优秀,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_005,深圳,440300,中南,医疗起降点,22.425938,114.29687,3,True,200,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_006,深圳,440300,中南,园区综合起降点,22.521503,114.292883,2,True,80,较好,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_007,深圳,440300,中南,物流起降点,22.648041,113.953311,3,True,80,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_008,深圳,440300,中南,园区综合起降点,22.748246,113.780201,2,True,40,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_009,深圳,440300,中南,园区综合起降点,22.749658,113.891416,2,True,40,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_010,深圳,440300,中南,eVTOL候机点,22.515735,114.081282,4,True,40,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_011,深圳,440300,中南,应急救援起降点,22.717045,114.256325,2,True,40,优秀,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_012,深圳,440300,中南,园区综合起降点,22.648894,113.834198,1,False,20,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_013,深圳,440300,中南,物流起降点,22.389523,114.246939,2,True,80,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_014,深圳,440300,中南,应急救援起降点,22.597968,114.147356,4,True,40,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_015,深圳,440300,中南,医疗起降点,22.569636,114.217292,1,True,80,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_016,深圳,440300,中南,物流起降点,22.474653,113.856244,1,True,120,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_017,深圳,440300,中南,医疗起降点,22.59097,114.282761,1,True,40,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_018,深圳,440300,中南,医疗起降点,22.340604,114.309146,4,True,40,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_019,深圳,440300,中南,应急救援起降点,22.561796,114.325786,3,False,80,一般,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_020,深圳,440300,中南,eVTOL候机点,22.410237,113.789794,1,False,40,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_021,深圳,440300,中南,应急救援起降点,22.440083,114.234975,2,True,40,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_022,深圳,440300,中南,eVTOL候机点,22.374025,114.290651,2,True,40,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_023,深圳,440300,中南,医疗起降点,22.753343,114.275111,1,False,40,较好,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_024,深圳,440300,中南,医疗起降点,22.621553,114.306578,1,True,200,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_025,深圳,440300,中南,物流起降点,22.651816,114.27347,4,True,120,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_026,深圳,440300,中南,医疗起降点,22.38007,113.870585,2,True,80,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_027,深圳,440300,中南,园区综合起降点,22.554167,114.174055,6,True,40,较好,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_028,深圳,440300,中南,物流起降点,22.670795,114.203353,2,False,20,优秀,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_029,深圳,440300,中南,应急救援起降点,22.576299,114.069841,1,False,40,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_030,深圳,440300,中南,园区综合起降点,22.730053,114.152754,3,False,40,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_031,深圳,440300,中南,物流起降点,22.713859,114.252057,1,False,120,优秀,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_032,深圳,440300,中南,应急救援起降点,22.662396,114.033312,1,True,20,一般,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_033,深圳,440300,中南,文旅观光起降点,22.653895,114.087926,1,True,40,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_034,深圳,440300,中南,文旅观光起降点,22.347631,114.215657,2,True,20,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_035,深圳,440300,中南,eVTOL候机点,22.453585,114.070499,2,False,120,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_036,深圳,440300,中南,eVTOL候机点,22.743928,113.917508,2,True,20,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_037,深圳,440300,中南,园区综合起降点,22.642729,114.296174,1,True,80,较好,改造中,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_038,深圳,440300,中南,应急救援起降点,22.405034,114.21131,1,True,80,较好,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_039,深圳,440300,中南,应急救援起降点,22.511812,114.193826,4,True,80,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_040,深圳,440300,中南,eVTOL候机点,22.378363,114.202383,1,True,80,一般,规划,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_041,深圳,440300,中南,物流起降点,22.742513,114.186592,6,True,80,一般,运营,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_042,深圳,440300,中南,物流起降点,22.426781,114.307494,1,True,20,较好,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
VP_440300_043,深圳,440300,中南,应急救援起降点,22.438745,114.237489,1,True,40,一般,试运行,simulated_demo_sample,起降点为平台演示样本，非真实已建清单。
