field_id,module,layer,table_name,field_name_en,field_name_cn,data_type,unit,recommended_update_frequency,sensitivity_level,quality_rule,source_basis,data_nature,platform_use,required_for_mvp
F0026,主体与操控员,感知层/业务层,t_operator,operator_name,operator name,numeric,,按业务事件,高,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0027,主体与操控员,感知层/业务层,t_operator,operator_type,operator type,string,,按业务事件,高,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0028,主体与操控员,感知层/业务层,t_operator,uom_certificate_no,uom certificate no,numeric,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0029,主体与操控员,感知层/业务层,t_operator,business_license_no,business license no,string/id,,按业务事件,高,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0030,主体与操控员,感知层/业务层,t_operator,pilot_id_hash,pilot id hash,string/id,,按业务事件,高,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0031,主体与操控员,感知层/业务层,t_operator,pilot_license_no,pilot license no,string/id,,按业务事件,高,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0032,主体与操控员,感知层/业务层,t_operator,license_level,license level,string,,按业务事件,高,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0033,主体与操控员,感知层/业务层,t_operator,license_valid_from,license valid from,datetime/date,,按业务事件,高,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0034,主体与操控员,感知层/业务层,t_operator,license_valid_to,license valid to,datetime/date,,按业务事件,高,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0035,主体与操控员,感知层/业务层,t_operator,training_org,training org,string,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0036,主体与操控员,感知层/业务层,t_operator,contact_phone_hash,contact phone hash,string/id,,按业务事件,高,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0037,主体与操控员,感知层/业务层,t_operator,emergency_contact_hash,emergency contact hash,numeric,,按业务事件,高,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0038,主体与操控员,感知层/业务层,t_operator,organization_credit_code_hash,organization credit code hash,string/id,,按业务事件,高,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0039,主体与操控员,感知层/业务层,t_operator,insurance_valid_to,insurance valid to,datetime/date,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0040,主体与操控员,感知层/业务层,t_operator,blacklist_flag,blacklist flag,boolean,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0041,主体与操控员,感知层/业务层,t_operator,compliance_score,compliance score,decimal_percent,%或0-100评分,按业务事件,低,按业务字典校验，缺失率和异常值需监控,CAAC无人机操控员执照与运营合格证统计口径,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0042,飞行计划与审批,感知层/业务层,t_flight_plan,plan_id,plan id,string/id,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0043,飞行计划与审批,感知层/业务层,t_flight_plan,mission_type,mission type,numeric,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0044,飞行计划与审批,感知层/业务层,t_flight_plan,application_time,application time,datetime/date,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0045,飞行计划与审批,感知层/业务层,t_flight_plan,planned_takeoff_time,planned takeoff time,datetime/date,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0046,飞行计划与审批,感知层/业务层,t_flight_plan,planned_landing_time,planned landing time,datetime/date,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0047,飞行计划与审批,感知层/业务层,t_flight_plan,planned_duration_min,planned duration min,numeric,秒/分钟,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0048,飞行计划与审批,感知层/业务层,t_flight_plan,takeoff_site_id,takeoff site id,string/id,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0049,飞行计划与审批,感知层/业务层,t_flight_plan,landing_site_id,landing site id,string/id,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0050,飞行计划与审批,感知层/业务层,t_flight_plan,route_id,route id,string/id,,按业务事件,中,主键唯一/时间戳不可为空/坐标需在城市边界内,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0051,飞行计划与审批,感知层/业务层,t_flight_plan,waypoint_count,waypoint count,numeric,个/架/次,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0052,飞行计划与审批,感知层/业务层,t_flight_plan,planned_min_altitude_m,planned min altitude m,numeric,米,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0053,飞行计划与审批,感知层/业务层,t_flight_plan,planned_max_altitude_m,planned max altitude m,numeric,米,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0054,飞行计划与审批,感知层/业务层,t_flight_plan,payload_type,payload type,string,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0055,飞行计划与审批,感知层/业务层,t_flight_plan,payload_weight_kg,payload weight kg,numeric,千克,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0056,飞行计划与审批,感知层/业务层,t_flight_plan,risk_level_precheck,risk level precheck,string,,按业务事件,中,按业务字典校验，缺失率和异常值需监控,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0057,飞行计划与审批,感知层/业务层,t_flight_plan,approval_status,approval status,string,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0058,飞行计划与审批,感知层/业务层,t_flight_plan,approval_time,approval time,datetime/date,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0059,飞行计划与审批,感知层/业务层,t_flight_plan,approver_org,approver org,string,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0060,飞行计划与审批,感知层/业务层,t_flight_plan,airspace_id,airspace id,string/id,,按业务事件,中,主键唯一/时间戳不可为空/坐标需在城市边界内,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0061,飞行计划与审批,感知层/业务层,t_flight_plan,temporary_restriction_flag,temporary restriction flag,boolean,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0062,飞行计划与审批,感知层/业务层,t_flight_plan,emergency_plan_id,emergency plan id,numeric,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0063,飞行计划与审批,感知层/业务层,t_flight_plan,digital_signature,digital signature,string,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东/深圳/苏州平台建设方案中飞行申请响应、飞行管理服务平台需求,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0064,航线与三维空域,感知层/业务层,t_airspace_route,airspace_grid_id,airspace grid id,string/id,,按业务事件,中,主键唯一/时间戳不可为空/坐标需在城市边界内,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0065,航线与三维空域,感知层/业务层,t_airspace_route,grid_polygon_wkt,grid polygon wkt,string/id,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0066,航线与三维空域,感知层/业务层,t_airspace_route,grid_center_lat,grid center lat,decimal_degrees,度,按业务事件,中,主键唯一/时间戳不可为空/坐标需在城市边界内,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0067,航线与三维空域,感知层/业务层,t_airspace_route,grid_center_lon,grid center lon,decimal_degrees,度,按业务事件,中,主键唯一/时间戳不可为空/坐标需在城市边界内,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0068,航线与三维空域,感知层/业务层,t_airspace_route,lower_altitude_m,lower altitude m,numeric,米,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0069,航线与三维空域,感知层/业务层,t_airspace_route,upper_altitude_m,upper altitude m,numeric,米,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0070,航线与三维空域,感知层/业务层,t_airspace_route,vertical_datum,vertical datum,numeric,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0071,航线与三维空域,感知层/业务层,t_airspace_route,restriction_type,restriction type,string,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0072,航线与三维空域,感知层/业务层,t_airspace_route,restriction_level,restriction level,string,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0073,航线与三维空域,感知层/业务层,t_airspace_route,effective_start_time,effective start time,datetime/date,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0074,航线与三维空域,感知层/业务层,t_airspace_route,effective_end_time,effective end time,datetime/date,,按业务事件,低,主键唯一/时间戳不可为空/坐标需在城市边界内,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0075,航线与三维空域,感知层/业务层,t_airspace_route,route_corridor_width_m,route corridor width m,numeric,米,按业务事件,中,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0076,航线与三维空域,感知层/业务层,t_airspace_route,route_capacity_per_hour,route capacity per hour,numeric,个/架/次,按业务事件,中,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0077,航线与三维空域,感知层/业务层,t_airspace_route,route_priority,route priority,string,,按业务事件,中,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0078,航线与三维空域,感知层/业务层,t_airspace_route,conflict_buffer_m,conflict buffer m,numeric,米,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0079,航线与三维空域,感知层/业务层,t_airspace_route,sensitive_area_distance_m,sensitive area distance m,numeric,米,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0080,航线与三维空域,感知层/业务层,t_airspace_route,airport_clearance_zone_flag,airport clearance zone flag,boolean,米,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0081,航线与三维空域,感知层/业务层,t_airspace_route,no_fly_zone_flag,no fly zone flag,boolean,,按业务事件,低,按业务字典校验，缺失率和异常值需监控,广东三维GIS+CIM+低空空域数字底座、深圳SILAS和航线管理能力,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0082,实时遥测与轨迹,感知层/业务层,t_telemetry,telemetry_id,telemetry id,numeric,,实时/秒级,低,主键唯一/时间戳不可为空/坐标需在城市边界内,无人机云系统运行数据与香港沙盒高度/速度/GNSS采集维度,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0083,实时遥测与轨迹,感知层/业务层,t_telemetry,timestamp_utc8,timestamp utc8,datetime/date,,实时/秒级,低,主键唯一/时间戳不可为空/坐标需在城市边界内,无人机云系统运行数据与香港沙盒高度/速度/GNSS采集维度,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0084,实时遥测与轨迹,感知层/业务层,t_telemetry,aircraft_id,aircraft id,string/id,,实时/秒级,低,主键唯一/时间戳不可为空/坐标需在城市边界内,无人机云系统运行数据与香港沙盒高度/速度/GNSS采集维度,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0085,实时遥测与轨迹,感知层/业务层,t_telemetry,lat,lat,decimal_degrees,度,实时/秒级,中,主键唯一/时间戳不可为空/坐标需在城市边界内,无人机云系统运行数据与香港沙盒高度/速度/GNSS采集维度,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0086,实时遥测与轨迹,感知层/业务层,t_telemetry,lon,lon,decimal_degrees,度,实时/秒级,中,主键唯一/时间戳不可为空/坐标需在城市边界内,无人机云系统运行数据与香港沙盒高度/速度/GNSS采集维度,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0087,实时遥测与轨迹,感知层/业务层,t_telemetry,height_agl_m,height agl m,numeric,米,实时/秒级,低,按业务字典校验，缺失率和异常值需监控,无人机云系统运行数据与香港沙盒高度/速度/GNSS采集维度,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0088,实时遥测与轨迹,感知层/业务层,t_telemetry,height_msl_m,height msl m,numeric,米,实时/秒级,低,按业务字典校验，缺失率和异常值需监控,无人机云系统运行数据与香港沙盒高度/速度/GNSS采集维度,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0089,实时遥测与轨迹,感知层/业务层,t_telemetry,ground_speed_mps,ground speed mps,numeric,米/秒,实时/秒级,低,按业务字典校验，缺失率和异常值需监控,无人机云系统运行数据与香港沙盒高度/速度/GNSS采集维度,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0090,实时遥测与轨迹,感知层/业务层,t_telemetry,vertical_speed_mps,vertical speed mps,numeric,米/秒,实时/秒级,低,按业务字典校验，缺失率和异常值需监控,无人机云系统运行数据与香港沙盒高度/速度/GNSS采集维度,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
F0091,实时遥测与轨迹,感知层/业务层,t_telemetry,heading_deg,heading deg,numeric,,实时/秒级,低,按业务字典校验，缺失率和异常值需监控,无人机云系统运行数据与香港沙盒高度/速度/GNSS采集维度,schema_recommendation,用于城市低空空域安全感知、运行监管、风险预警、统计分析或应急联动,
