source_id,title,publisher,date,url,use,source_type
S015,OpenSky Network Flightlist,本地整理数据集或公开数据源,按文件记录年份,OpenSky Network Flightlist,用于飞行活动公开数据方法说明。,local_dataset
S016,CAAC_2023_BULLETIN 民航公开统计摘录,中国民用航空局/交通运输部公开资料,2023,https://www.mot.gov.cn/shuju/fenxigongbao/hangyegongbao/202601/P020260127539879677064.pdf,用于无人机注册、飞行小时、运营单位、机场和安全指标分析。,official_statistic
S017,CAAC_2024_BULLETIN 民航公开统计摘录,中国民用航空局/交通运输部公开资料,2024,https://www.mot.gov.cn/shuju/fenxigongbao/hangyegongbao/202601/P020260104371505744786.pdf,用于无人机注册、飞行小时、运营单位、机场和安全指标分析。,official_statistic
S018,CAAC_2025_BULLETIN 民航公开统计摘录,中国民用航空局/交通运输部公开资料,2025,https://www.caac.gov.cn/XXGK/XXGK/TJSJ/202604/P020260417665629030648.pdf,用于无人机注册、飞行小时、运营单位、机场和安全指标分析。,official_statistic
S019,安徽省加快培育发展低空经济实施方案（2024—2027年）,地方政府/主管部门公开资料,2027,https://www.tljq.gov.cn/openness/upload_tl/download?id=89264&siteId=4,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S020,低空基础设施发展现状引用,地方政府/主管部门公开资料,2027,https://www.caict.ac.cn/kxyj/qwfb/bps/202603/P020260331466642289162.pdf,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S021,重庆市推动低空空域管理改革促进低空经济高质量发展行动方案,地方政府/主管部门公开资料,2025,https://www.cq.gov.cn/zwgk/zfxxgkml/szfwj/qtgw/202409/t20240926_13663171.html,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S022,房山区低空经济产业发展行动方案（2024—2027年）,地方政府/主管部门公开资料,2027,https://www.bjfsh.gov.cn/zwgk/zcwj/202410/t20241028_40082292.shtml,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S023,广东省推动低空经济高质量发展行动方案（2024—2026年）,地方政府/主管部门公开资料,2026,https://www.thnet.gov.cn/zjth/tzth/tzzc/sszc/content/post_9836185.html,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S024,广州市低空经济发展实施方案,地方政府/主管部门公开资料,,https://www.gz.gov.cn/zwgk/fggw/sfbgtwj/content/post_9743866.html,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S025,低空经济监管沙盒X,地方政府/主管部门公开资料,,https://www.tlb.gov.hk/tc/highlights/transport/low-altitude.html,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S026,南通市低空经济高质量发展行动方案,地方政府/主管部门公开资料,2027,https://www.nantong.gov.cn/ntsrmzf/szfbwj/content/f6d67b3b-25c0-4b89-83f1-3794a28f3812.html,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S027,上海市低空经济产业高质量发展行动方案（草案）,地方政府/主管部门公开资料,2027,https://www.sheitc.sh.gov.cn/qtzx/20241009/9336828aaeb3481bbf4733c8e607a527.html,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S028,上海“五个一”低空飞行安全监管体系公开报道,地方政府/主管部门公开资料,2026,https://www.mot.gov.cn/xinwen/jiaotongyaowen/202601/t20260122_4198498.html,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S029,深圳市低空基础设施高质量建设方案（2024—2026年）,地方政府/主管部门公开资料,2026,https://fgw.sz.gov.cn/gkmlpt/content/12/12305/post_12305044.html,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S030,深圳市低空基础设施高质量建设方案（2024—2026年）,地方政府/主管部门公开资料,2026,https://fgw.sz.gov.cn/zwgk/qt/tzgg/content/post_12305044.html,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S031,苏州市低空经济高质量发展实施方案（2024～2026年）,地方政府/主管部门公开资料,2026,https://www.suzhou.gov.cn/szsrmzf/zfbgswj/202402/1ea65ae34733413ba188c04f8690267a.shtml,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
S032,苏州市低空经济高质量发展实施方案（2024—2026年）,地方政府/主管部门公开资料,2026,https://www.suzhou.gov.cn/szsrmzf/zfbgswj/202402/1ea65ae34733413ba188c04f8690267a.shtml,用于地方低空经济目标、平台建设、航线和起降网络规划分析。,local_policy_or_case
