图表名称,图表类型,数据来源,所属章节,核心结论
飞行计划审批流向图,分阶段流向图,平台演示样本，已在data_nature字段标注,第三章 产品服务,审批流图能说明平台怎样把风险预检、审批状态和执行闭环连起来。
场景审批结果占比,结构马赛克图,平台演示样本，已在data_nature字段标注,第三章 产品服务,审批结果按场景拆开后，才能判断哪些业务需要更严格的前置校验。
速度高度二维密度,二维核密度图,平台演示样本，已在data_nature字段标注,第五章 数据体系,二维密度比散点更适合观察飞行高度和速度的常见组合。
遥测空间等高线,空间等高线图,平台演示样本，已在data_nature字段标注,第十三章 Web Demo,等高线能帮助识别高频航迹区域，适合叠加到态势地图。
单机电量地平线图,地平线图,平台演示样本，已在data_nature字段标注,第四章 技术架构,电量趋势要和返航、低电量告警和处置工单联动。
告警发生时段地毯图,地毯图,平台演示样本，已在data_nature字段标注,第十三章 Web Demo,地毯图把时间拥挤度表现得更直接，适合做值班压力判断。
日告警量控制图,控制图,平台演示样本，已在data_nature字段标注,第十章 风险应对,控制图能把正常波动和异常压力区分开，避免简单按总量误判。
响应时间生存曲线,生存曲线,平台演示样本，已在data_nature字段标注,第十三章 Web Demo,生存曲线比平均响应时间更能暴露尾部事件。
检测来源处置状态桑基,桑基示意图,平台演示样本，已在data_nature字段标注,第四章 技术架构,桑基示意图让多源感知如何进入处置闭环更容易被看懂。
城市告警强度极坐标,极坐标气泡图,平台演示样本，已在data_nature字段标注,第十三章 Web Demo,极坐标气泡把城市风险强度压缩到一张图里，适合做首页态势摘要。
网格平均风险六边形图,风险六边形图,平台演示样本，已在data_nature字段标注,第五章 数据体系,用空间网格表达平均风险，能把风险分布从列表变成地图判断。
飞行密度覆盖能力象限,风险象限图,平台演示样本，已在data_nature字段标注,第四章 技术架构,高飞行密度但覆盖不足的网格，是试点补设备和调规则的优先区域。
风险特征均值雷达,特征雷达图,平台演示样本，已在data_nature字段标注,第五章 数据体系,雷达图用于解释风险模型的输入侧，不把模型写成黑箱。
风险模型混淆矩阵,混淆矩阵,平台演示样本，已在data_nature字段标注,第五章 数据体系,混淆矩阵提醒团队关注误报和漏报，而不是只展示一个风险分数。
风险模型ROC曲线,ROC曲线,平台演示样本，已在data_nature字段标注,第五章 数据体系,ROC曲线用来解释阈值选择，而不是夸大模型效果。
风险模型PR曲线,PR曲线,平台演示样本，已在data_nature字段标注,第五章 数据体系,PR曲线更适合讨论告警场景下的误报成本。
风险评分校准曲线,校准曲线,平台演示样本，已在data_nature字段标注,第五章 数据体系,校准曲线让风险分数更容易转化为人工复核阈值。
设备类型在线状态矩阵,设备状态矩阵,平台演示样本，已在data_nature字段标注,第十三章 Web Demo,设备在线状态是告警可信度和SLA的基础。
感知站覆盖圆环图,覆盖圆环图,平台演示样本，已在data_nature字段标注,第四章 技术架构,覆盖圆环能把设备布设的空白区域展示出来。
设备健康蜂群图,蜂群图,平台演示样本，已在data_nature字段标注,第十三章 Web Demo,蜂群图能同时看到状态分布和离群设备。
起降点容量气泡,容量气泡图,平台演示样本，已在data_nature字段标注,第三章 产品服务,起降点容量直接影响航线排班和应急冗余。
航线走廊连线图,航线连线图,平台演示样本，已在data_nature字段标注,第十三章 Web Demo,航线连线图可以解释为什么电子围栏和航线评估需要结合。
场景风控要求平行分类,平行分类图,平台演示样本，已在data_nature字段标注,第四章 技术架构,不同航线场景需要不同风控规则，不能把所有任务写成同一审批模板。
五年收入流图,流图,经营模型假设，详见SkyGuard_财务测算表.xlsx,第九章 财务预测,收入流图比普通堆叠柱更容易看出收入结构从项目制转向续费和服务。
三情景收入扇形区间,预测扇形图,经营模型假设，详见SkyGuard_财务测算表.xlsx,第九章 财务预测,情景区间能更诚实地呈现不确定性，而不是只给单线预测。
期末现金扰动分布,扰动分布直方图,经营模型假设，详见SkyGuard_财务测算表.xlsx,第九章 财务预测,现金流用分布表达，比单点数字更能说明资金安全垫。
现金跑道仪表,半圆仪表盘,经营模型假设，详见SkyGuard_财务测算表.xlsx,第九章 财务预测,现金跑道用于解释融资资金覆盖研发、交付和销售启动期。
Lite客户单位毛利桥,利润桥图,经营模型假设，详见SkyGuard_财务测算表.xlsx,第九章 财务预测,单位毛利桥说明定价必须覆盖云资源、客户成功和销售服务。
SaaS续费队列热力,队列热力图,经营模型假设，详见SkyGuard_财务测算表.xlsx,第七章 商业模式,续费队列能把客户成功和长期收入挂钩。
场景客户留存曲线,留存曲线,经营模型假设，详见SkyGuard_财务测算表.xlsx,第七章 商业模式,不同场景的留存差异会反过来影响销售优先级。
CAC回收期曲线,回收期曲线,经营模型假设，详见SkyGuard_财务测算表.xlsx,第九章 财务预测,CAC回收期把销售效率从口号变成可检验数字。
融资资金用途玫瑰图,玫瑰图,经营模型假设，详见SkyGuard_财务测算表.xlsx,第九章 财务预测,资金用途以研发、试点交付和销售启动为主，避免写成泛泛扩张。
产品定价阶梯,定价阶梯图,经营模型假设，详见SkyGuard_财务测算表.xlsx,第七章 商业模式,定价阶梯对应部署深度和客户组织层级，而不是随意涨价。
目标市场Marimekko,Marimekko图,经营模型假设，详见SkyGuard_财务测算表.xlsx,第六章 市场竞争,Marimekko把可触达规模和价格强度同时放在一张图里。
风险登记二维热力,风险登记热力图,SkyGuard产品方案、Web Demo与原PLAN母稿,第十章 风险应对,把风险放入概率和影响矩阵，能区分优先治理和持续监控。
未知目标风险弓形图,风险弓形图,SkyGuard产品方案、Web Demo与原PLAN母稿,第十章 风险应对,弓形图能把风险原因、核心事件和控制动作放在同一张图里。
试点延期鱼骨分析,鱼骨图,SkyGuard产品方案、Web Demo与原PLAN母稿,第十章 风险应对,鱼骨图把延期原因拆细，便于对应责任人和前置动作。
试点交付泳道图,泳道图,SkyGuard产品方案、Web Demo与原PLAN母稿,第八章 落地计划,泳道图能说明不同角色在试点中的责任边界。
低空运行服务蓝图,服务蓝图,SkyGuard产品方案、Web Demo与原PLAN母稿,第三章 产品服务,服务蓝图把客户动作、界面、后台规则和数据留痕放在同一个流程里。
数据血缘与证据链,数据血缘图,SkyGuard产品方案、Web Demo与原PLAN母稿,第五章 数据体系,数据血缘图说明报告里的每个判断如何回到数据、Demo和证据索引。
告警链路时序图,时序图,SkyGuard产品方案、Web Demo与原PLAN母稿,第四章 技术架构,时序图能解释告警从设备到报表的处理顺序。
产品与商业季度路线图,季度路线图,SkyGuard产品方案、Web Demo与原PLAN母稿,第八章 落地计划,季度路线图把产品、数据、交付和商业推进放在同一张排期里。
创业团队组织图,组织结构图,SkyGuard产品方案、Web Demo与原PLAN母稿,第十一章 团队组织,组织结构围绕产品、技术、交付和伙伴拓展配置，而不是只展示岗位名称。
关键岗位到位计划,岗位甘特图,SkyGuard产品方案、Web Demo与原PLAN母稿,第十一章 团队组织,岗位到位节奏要服务试点，而不是一次性把组织拉大。
利益相关方权力关注矩阵,利益相关方矩阵,SkyGuard产品方案、Web Demo与原PLAN母稿,第八章 落地计划,利益相关方矩阵能帮助团队安排沟通顺序。
社会价值平衡计分卡,平衡计分卡,SkyGuard产品方案、Web Demo与原PLAN母稿,第十二章 社会价值,社会价值可以拆成安全、效率、治理、应急和人才几个可解释维度。
Web Demo完整度矩阵,Demo完整度矩阵,SkyGuard产品方案、Web Demo与原PLAN母稿,第十三章 Web Demo,Demo完整度矩阵能证明它不是几张静态页面，而是完整演示链路。
政策发布节奏与类型结构,堆叠面积图,低空经济政策法规全量数据.csv,第一章 行业机会,政策供给呈持续任务化趋势，监管、规划、扶持和标准类文件共同推动平台需求形成。
招投标预算与项目数量,双轴组合图,低空经济招投标项目全量数据.csv,第六章 市场竞争,项目数量和预算金额能反映低空基础设施、平台建设和服务采购的市场温度。
低空相关专利申请趋势,柱线组合图,低空经济专利全量数据.csv,第四章 技术架构,专利活跃度说明低空空域管理、飞行服务和感知通信相关能力正在持续技术化。
低空相关企业省份分布,排序条形图,低空经济相关企业全量数据.csv,第六章 市场竞争,企业分布显示低空产业生态存在区域集中度，首批销售和伙伴拓展应优先考虑产业基础较强地区。
产业链企业数量与产值结构,Marimekko矩形图,低空经济产业链上下游数据.csv,第六章 市场竞争,产业链各环节的企业数量和产值不均衡，平台公司应选择可合作、可接入、可复用的环节。
省域低空经济指数热力宫格,省域热力宫格图,各省低空经济指数数据（1990-2024）.csv,第一章 行业机会,省域指数差异提示市场进入需要按区域产业基础和政策任务分层。
低空安全事件类型与年份热力,事件热力图,低空安全事件与监管案例数据.csv,第二章 痛点验证,安全事件按类型和年份聚合后，可以看到事件管理需要长期记录、分类和复盘。
起降设施类型与状态矩阵,设施状态矩阵,低空起降设施与空域数据.csv,第三章 产品服务,起降设施的建设状态和类型结构决定了飞行计划、容量管理和场景包配置方式。
飞行类型距离高度气泡,距离-高度气泡图,低空飞行活动与轨迹数据.csv,第五章 数据体系,不同飞行类型在距离和高度上差异明显，风险规则不能只用单一高度阈值。
省域低空经济指数坡度图,坡度图,各省低空经济指数数据（1990-2024）.csv,第一章 行业机会,坡度图用于区分长期上升区域和短期热点区域，帮助确定首批市场进入顺序。
地方低空政策目标华夫图,华夫图,地方低空经济政策目标与监管平台案例，本地清洗表05,第一章 行业机会,华夫图把政策重点压缩为百分比结构，说明平台、航线、起降点和监管任务并不是同等权重。
城市政策任务密度棒棒糖,棒棒糖图,地方低空经济政策目标与监管平台案例，本地清洗表05,第六章 市场竞争,不同城市政策任务密度不同，销售材料和场景包应按城市任务重新组合。
招投标类型漏斗,漏斗图,低空经济招投标项目全量数据.csv,第六章 市场竞争,招投标项目类型能够提示哪些采购场景更容易形成平台化机会。
专利IPC方向环形柱,环形柱图,低空经济专利全量数据.csv,第四章 技术架构,IPC方向能够说明技术积累集中在哪些空域管理、通信、导航和飞行服务能力上。
低空企业注册资本小提琴,小提琴图,低空经济相关企业全量数据.csv,第六章 市场竞争,资本分布能帮助判断哪些行业适合做渠道伙伴，哪些行业更适合做场景客户。
安全事件严重程度环带,环带图,低空安全事件与监管案例数据.csv,第二章 痛点验证,严重程度结构决定事件分级处置和人工复核资源配置。
起降设施容量矩形树,容量树图,低空起降设施与空域数据.csv,第三章 产品服务,容量结构决定计划审批、起降点排班和应急冗余策略。
飞行类型平行坐标,平行坐标图,低空飞行活动与轨迹数据.csv,第五章 数据体系,平行坐标用于比较不同飞行类型的规模、距离和高度组合。
航线场景高度箱须,箱须图,平台演示样本，字段data_nature已标注,第四章 技术架构,航线高度分布会影响围栏阈值、净空约束和审批模板。
事件响应时间散点云,散点云图,平台演示样本，字段data_nature已标注,第二章 痛点验证,响应时间的尾部事件比平均数更能说明工单闭环的价值。
感知设备健康地块图,地块热力图,平台演示样本，字段data_nature已标注,第十三章 Web Demo,设备健康地块图适合快速定位批量离线或低健康度设备。
风险分位事件率,分位柱线图,平台演示样本，字段data_nature已标注,第五章 数据体系,风险分位能把模型分数转成可解释的人工复核优先级。
成本结构双层环,双层环图,经营模型假设，详见SkyGuard_财务测算表.xlsx,第九章 财务预测,成本结构要看研发、云资源、交付和销售服务的组合，而不是只看总成本。
现金流瀑布,瀑布图,经营模型假设，详见SkyGuard_财务测算表.xlsx,第九章 财务预测,现金流瀑布能说明融资资金如何覆盖经营现金缺口和必要投入。
收入乘数与折现率敏感性,敏感性热力图,经营假设、平台演示样本与整理数据,第九章 财务预测,敏感性热力图能直接说明收入假设和折现率变化对项目价值的影响。
首批客户获取漏斗,漏斗条形图,经营假设、平台演示样本与整理数据,第七章 商业模式,客户漏斗把销售动作和收入假设连接起来，避免只展示收入总额。
试点落地里程碑泳道,泳道甘特图,经营假设、平台演示样本与整理数据,第八章 落地计划,泳道图能把团队分工和阶段交付物放在同一张图中。
Demo模块验收雷达,雷达图,经营假设、平台演示样本与整理数据,第十三章 Web Demo,雷达图适合说明Demo模块覆盖度和下一步补强方向。
风险概率影响矩阵,气泡矩阵,经营假设、平台演示样本与整理数据,第十章 风险应对,风险矩阵能把风险优先级从文字清单变成决策顺序。
五年收入结构堆叠面积,堆叠面积图,经营假设、平台演示样本与整理数据,第九章 财务预测,堆叠面积图比单线收入更能说明收入结构变化。
数据口径流向图,流程流向图,经营假设、平台演示样本与整理数据,第五章 数据体系,流向图能清楚说明不同资料在计划书中的使用边界。
分级事件响应时间箱线,箱线图,经营假设、平台演示样本与整理数据,第二章 痛点验证,箱线图能揭示平均响应时间之外的尾部风险。
风险处置SLA子弹图,子弹图,经营假设、平台演示样本与整理数据,第十章 风险应对,子弹图把响应目标和当前处置时长放在同一口径下比较。
重点场景响应时长哑铃,哑铃图,经营假设、平台演示样本与整理数据,第二章 痛点验证,哑铃图能清楚表达不同场景的处置效率改善空间。
客户价值优先级气泡,气泡四象限,经营假设、平台演示样本与整理数据,第三章 产品服务,气泡四象限用于解释产品模块的优先级和交付节奏。
计划审批阶段转化瀑布,转化瀑布,经营假设、平台演示样本与整理数据,第三章 产品服务,转化瀑布能解释计划审批中的过滤、复核和归档动作。
设备在线率小倍数,小倍数折线,经营假设、平台演示样本与整理数据,第四章 技术架构,小倍数折线适合比较不同感知设备的连续可用性。
围栏触发时间玫瑰,极坐标柱图,经营假设、平台演示样本与整理数据,第二章 痛点验证,时间玫瑰图能展示围栏告警在一天内的高峰时段。
航线容量压力等高线,等高线图,经营假设、平台演示样本与整理数据,第四章 技术架构,等高线图用于说明航线风险评估不是单一阈值判断。
示范城市进入排序帕累托,帕累托图,经营假设、平台演示样本与整理数据,第六章 市场竞争,帕累托图能说明先进入哪些城市更容易形成样板。
工单状态100%堆叠条,百分比堆叠条,经营假设、平台演示样本与整理数据,第三章 产品服务,百分比堆叠条能比较不同场景的事件处理结构。
风险因素贡献发散条,发散条形图,经营假设、平台演示样本与整理数据,第十章 风险应对,发散条形图能把风险与正向缓释因素放在同一尺度中。
试点资源消耗阶梯面积,阶梯面积图,经营假设、平台演示样本与整理数据,第八章 落地计划,阶梯面积图能说明试点资源随阶段变化，而不是平均铺开。
客户续费队列斜率图,斜率图,经营假设、平台演示样本与整理数据,第七章 商业模式,斜率图能说明客户成功如何把一次试点转成持续收入。
月度现金安全带图,带状折线图,经营假设、平台演示样本与整理数据,第九章 财务预测,带状折线图能表达现金预测的不确定性和安全边界。
政策类型条带分布,条带图,经营假设、平台演示样本与整理数据,第一章 行业机会,条带图比单纯计数更能表现政策主题的分布差异。
数据字段覆盖矩阵,缺口矩阵,经营假设、平台演示样本与整理数据,第五章 数据体系,缺口矩阵能快速显示数据治理仍需补齐的位置。
模型阈值收益曲线,双线权衡图,经营假设、平台演示样本与整理数据,第五章 数据体系,双线权衡图能解释误报和漏报之间的产品取舍。
交付风险优先矩阵表图,表格式热力图,经营假设、平台演示样本与整理数据,第十章 风险应对,表格式热力图适合把风险优先级转成管理动作。
WebDemo演示路径节点图,节点路径图,经营假设、平台演示样本与整理数据,第十三章 Web Demo,节点路径图把答辩时的点击顺序变成一条可复述脚本。
移动处置步骤进度条,进度条组,经营假设、平台演示样本与整理数据,第十三章 Web Demo,进度条组能说明移动处置不是静态页面，而是连续状态。
团队能力覆盖雷达组,雷达小倍数,经营假设、平台演示样本与整理数据,第十一章 团队组织,雷达小倍数能展示团队能力从当前到试点期的补强方向。
社会价值指标仪表组,仪表组,经营假设、平台演示样本与整理数据,第十二章 社会价值,仪表组能把社会价值从口号转成可跟踪指标。
低空场景收益成本矩阵,收益成本矩阵,经营假设、平台演示样本与整理数据,第六章 市场竞争,收益成本矩阵能帮助解释首批场景选择。
收入结构主题河流,主题河流图,经营假设、平台演示样本与整理数据,第九章 财务预测,主题河流图能表达收入结构的连续迁移。
来源可信度金字塔,金字塔图,经营假设、平台演示样本与整理数据,第五章 数据体系,可信度金字塔能说明不同资料在正文中的使用权重。
答辩追问准备矩阵,优先级矩阵,经营假设、平台演示样本与整理数据,附录,准备矩阵能帮助答辩时快速定位追问证据。
融资后现金跑道阶梯,阶梯线图,经营假设、平台演示样本与整理数据,第九章 财务预测,阶梯线图能提示融资后现金跑道的阶段性压力。
速度高度异常六边形密度,六边形密度图,经营假设、平台演示样本与整理数据,第五章 数据体系,六边形密度图能减少散点重叠，适合高频遥测样本。
客户试点批次排布图,批次排布图,经营假设、平台演示样本与整理数据,第八章 落地计划,批次排布图能把客户获取节奏和交付能力联系起来。
Demo验收差距条形图,对照条形图,经营假设、平台演示样本与整理数据,第十三章 Web Demo,对照条形图能说明Demo当前完成度和下一步补强项。
异常原因帕累托,帕累托图,经营假设、平台演示样本与整理数据,第二章 痛点验证,帕累托图能说明首批规则应优先覆盖计划未匹配、围栏越界和身份未确认。
规则命中决策树,决策树图,经营假设、平台演示样本与整理数据,第四章 技术架构,决策树图能把规则、人工确认和报表归档之间的关系说明清楚。
首批场景优先级华夫,华夫图,经营假设、平台演示样本与整理数据,第六章 市场竞争,华夫图能把首批场景优先级做成直观比例，避免只列场景名称。
事件密度日历热力,日历热力图,经营假设、平台演示样本与整理数据,第二章 痛点验证,日历热力图能说明事件并非均匀出现，值班与保障资源需要按密度配置。
产品模块成熟度棒棒糖,棒棒糖图,经营假设、平台演示样本与整理数据,第三章 产品服务,棒棒糖图能突出各模块成熟度差异，比普通柱状图更适合做模块对比。
城市试点适配跃迁,排名跃迁图,经营假设、平台演示样本与整理数据,第一章 行业机会,排名跃迁图能说明政策活跃并不等同于首批试点适配，需要结合交付边界判断。
运行指标岭线分布,岭线散点图,经营假设、平台演示样本与整理数据,第五章 数据体系,岭线分布能比单个均值更好地呈现运行指标是否稳定。
毛利改善因素桥,因素桥图,经营假设、平台演示样本与整理数据,第九章 财务预测,因素桥图能解释毛利提升来自收入结构、云资源和交付复用，而不是凭空乐观。
团队能力差距哑铃,能力差距哑铃图,经营假设、平台演示样本与整理数据,第十一章 团队组织,能力差距哑铃图能把岗位补强写成具体能力差，而不是泛泛扩招。
资料用途桑基示意,桑基示意图,经营假设、平台演示样本与整理数据,第五章 数据体系,桑基示意图能表达资料来源到计划书用途的映射关系。
WebDemo成熟度小倍数线,小倍数折线图,经营假设、平台演示样本与整理数据,第十三章 Web Demo,小倍数折线图能说明 Web Demo 不是静态展示，而是逐步接近试点部署的产品。
WebDemo演示泳道,泳道图,经营假设、平台演示样本与整理数据,第十三章 Web Demo,泳道图能把脚本入口、态势判断、计划核验、现场处置和报表归档连接成一条演示路径。
WebDemo截图内容对应矩阵,截图对应矩阵,经营假设、平台演示样本与整理数据,第十三章 Web Demo,截图对应矩阵能说明每张 WebDemo 截图在正文中的证据作用。
产品服务蓝图,服务蓝图,经营假设、平台演示样本与整理数据,第三章 产品服务,服务蓝图能把功能页面和客户交付物放到同一条业务链路中。
试点验收KPI子弹图,子弹图,经营假设、平台演示样本与整理数据,第三章 产品服务,子弹图能直接呈现当前 Demo 到试点验收之间的能力差距。
客户问题到产品字段矩阵,字段映射矩阵,经营假设、平台演示样本与整理数据,第五章 数据体系,字段映射矩阵能说明数据字段如何回答客户在试点中的关键追问。
事件处置时长堆叠条,时长堆叠条,经营假设、平台演示样本与整理数据,第二章 痛点验证,时长堆叠条能说明缩短响应时间需要同时优化核验、派单和反馈环节。
终稿材料构成条形图,材料构成条形图,经营假设、平台演示样本与整理数据,附录,材料构成条形图能说明终稿不是单一文本，而是图文表和工程材料共同组成。
证据到章节映射图,证据映射图,经营假设、平台演示样本与整理数据,附录,证据映射图能帮助读者快速核验正文判断与资料来源之间的关系。
